UrlID,Url,Title,Matched segm,Matched Option,All options,Found,Attriubte
12991277,https://www.moosejaw.com/product/ugg-women-s-classic-short-ii-boot_10325149,"navy,",single_case,Single_case,"
												
												 
													
														09
														
															In Stock
															
															",out of stock or don't care,N/A
12991277,https://www.moosejaw.com/product/ugg-women-s-classic-short-ii-boot_10325149,"navy,",N/A,N/A,[],False,N/A
12996291,https://www.moosejaw.com/product/sanuk-men-s-chiba-shoe_10101059,"CHIBA BLACK, MEN'S",N/A,N/A,N/A,Failed to get the product,N/A
12996904,https://www.moosejaw.com/product/sanuk-men-s-chiba-shoe_10101059,"CHIBA BROWN, MEN'S",N/A,N/A,N/A,No action link documented,N/A
12996291,https://www.moosejaw.com/product/sanuk-men-s-chiba-shoe_10101059,"CHIBA BLACK, MEN'S",N/A,N/A,N/A,cannot click to scout,N/A
12996904,https://www.moosejaw.com/product/sanuk-men-s-chiba-shoe_10101059,"CHIBA BROWN, MEN'S",N/A,N/A,N/A,No action link documented,N/A
12997333,https://www.moosejaw.com/product/sanuk-men-s-chiba-shoe_10101059,"CHIBA TAN, MEN'S",N/A,N/A,N/A,Tool bar not loading properly,N/A
12996291,https://www.moosejaw.com/product/sanuk-men-s-chiba-shoe_10101059,"CHIBA BLACK, MEN'S",N/A,N/A,N/A,No action link documented,N/A
12972311,https://www.moosejaw.com/product/merrell-men-s-moab-fst-2-waterproof-shoe_10381100,mid olive/adobe,N/A,N/A,[],False,N/A
12972311,https://www.moosejaw.com/product/merrell-men-s-moab-fst-2-waterproof-shoe_10381100,mid olive/adobe,single_case,Single_case,"
												
												 
														
													
														
															Black  / Granite
															
																																			
														
																
																																			
													
													
												
											",out of stock or don't care,N/A
12996904,https://www.moosejaw.com/product/sanuk-men-s-chiba-shoe_10101059,"CHIBA BROWN, MEN'S",N/A,N/A,N/A,No action link documented,N/A
